visited_at,posts_read,mobile,time_read
2022-01-21,9,false,758
2022-01-22,23,false,1280
2022-01-23,20,false,1113
2022-01-24,28,false,1593
2022-01-25,29,false,1123
2022-01-26,16,false,750
2022-01-27,52,false,2198
2022-01-28,21,false,1550
2022-01-29,28,false,947
2022-01-30,17,false,645
2022-01-31,23,false,971
2022-02-01,8,false,733
2022-02-02,1,false,182
2022-02-03,4,false,391
2022-02-04,2,false,668
2022-02-05,15,false,1046
2022-02-06,1,false,242
2022-02-07,4,false,307
2022-02-08,59,false,2015
2022-02-09,51,false,1777
2022-02-10,0,false,182
2022-02-11,1,false,361
2022-02-12,2,false,305
2022-02-13,62,false,2465
2022-02-14,5,false,173
2022-02-15,2,false,329
2022-02-16,44,false,1759
2022-02-17,3,false,340
2022-02-18,1,false,301
2022-02-19,5,false,551
2022-02-20,9,false,1438
2022-02-21,54,false,1591
2022-02-22,21,false,1035
2022-02-23,7,false,720
2022-02-24,3,false,576
2022-02-25,10,false,1564
2022-02-26,23,false,999
2022-02-27,9,false,673
2022-02-28,4,false,571
2022-03-01,1,false,61
